#,group,date,h_from,h_to,place,gender,individual,age_group,eur,song_order,comment
1,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
2,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
3,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
4,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
5,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
6,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
7,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
8,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
9,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,50+,0.00,3 - 4 - 5 - 1,
10,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,50+,0.00,3 - 4 - 5 - 1,
11,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,25-49,0.00,3 - 4 - 5 - 1,
12,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,25-49,0.00,3 - 4 - 5 - 1,
13,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
14,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
15,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
16,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,25-49,0.00,2 - 3 - 1 - 4,
17,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,25-49,0.00,2 - 3 - 1 - 4,
18,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,50+,1.00,2 - 3 - 1 - 4,
19,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,50+,0.00,2 - 3 - 1 - 4,
20,2,13.11.2020,12:40,13:00,Baixa-Chiado,Couple,FALSE,50+,0.00,2 - 3 - 1 - 4,
21,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
22,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
23,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
24,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
25,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
26,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
27,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
28,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
29,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,50+,0.00,5 - 4 - 1 - 2,
30,3,13.11.2020,13:10,13:30,Baixa-Chiado,Female,TRUE,25-49,1.00,5 - 4 - 1 - 2,
31,4,13.11.2020,14:30,14:50,Praça do Comércio,Male,TRUE,25-49,2.00,3 - 4 - 2 - 1,
32,4,13.11.2020,14:30,14:50,Praça do Comércio,Male,TRUE,25-49,2.00,3 - 4 - 2 - 1,
33,4,13.11.2020,14:30,14:50,Praça do Comércio,Male,TRUE,25-49,0.00,3 - 4 - 2 - 1,
34,4,13.11.2020,14:30,14:50,Praça do Comércio,Male,TRUE,50+,0.00,3 - 4 - 2 - 1,
35,4,13.11.2020,14:30,14:50,Praça do Comércio,Female,TRUE,25-49,2.00,3 - 4 - 2 - 1,
36,4,13.11.2020,14:30,14:50,Praça do Comércio,Female,TRUE,25-49,0.00,3 - 4 - 2 - 1,
37,4,13.11.2020,14:30,14:50,Praça do Comércio,Female,TRUE,25-49,0.00,3 - 4 - 2 - 1,
38,4,13.11.2020,14:30,14:50,Praça do Comércio,Female,TRUE,25-49,0.00,3 - 4 - 2 - 1,
39,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,TRUE,25-49,1.00,1 - 4 - 5 - 3,
40,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,FALSE,25-49,2.00,1 - 4 - 5 - 3,interviewer
41,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,FALSE,25-49,5.00,1 - 4 - 5 - 3,interviewer
42,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,TRUE,25-49,0.00,1 - 4 - 5 - 3,
43,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,TRUE,25-49,0.00,1 - 4 - 5 - 3,
44,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,TRUE,25-49,0.00,1 - 4 - 5 - 3,
45,5,13.11.2020,15:00,15:20,Praça do Comércio,Female,TRUE,25-49,0.00,1 - 4 - 5 - 3,
46,6,13.11.2020,15:30,15:50,Praça do Comércio,Male,TRUE,25-49,2.00,2 - 3 - 1 - 4,
47,6,13.11.2020,15:30,15:50,Praça do Comércio,Male,TRUE,50+,0.00,2 - 3 - 1 - 4,
48,6,13.11.2020,15:30,15:50,Praça do Comércio,Female,FALSE,25-49,2.00,2 - 3 - 1 - 4,
49,6,13.11.2020,15:30,15:50,Praça do Comércio,Female,FALSE,25-49,0.00,2 - 3 - 1 - 4,
50,6,13.11.2020,15:30,15:50,Praça do Comércio,Female,TRUE,25-49,0.00,2 - 3 - 1 - 4,